index_batch,radar_mask_len,radar_OI,box_present,cls_labels_len
353,5587,13,1,1502
353,8759,14,1,729
353,11301,15,1,2029
354,3712,6,1,747
354,3528,7,1,2
354,3833,8,1,997
354,9921,11,1,1665
354,9908,12,1,1665
355,3375,8,1,624
355,4339,9,1,156
355,2495,10,1,212
355,5323,11,1,428
355,1414,13,1,4
355,7320,14,1,342
355,9599,15,1,1850
355,9388,16,1,1850
356,4155,6,1,858
356,2200,7,1,88
356,3158,8,1,73
356,4923,9,1,475
356,4649,11,1,196
356,5985,12,1,836
356,7777,13,1,1408
356,7893,14,1,1408
356,2850,16,1,5
365,3069,2,1,1199
366,3023,2,1,1297
367,2547,4,1,1279
367,2580,5,1,1279
368,2266,3,1,1297
368,2647,4,1,1297
369,2151,1,1,1173
369,2380,2,1,1173
370,2464,2,1,1172
370,2808,3,1,1172
371,2378,1,1,867
372,2537,1,1,1139
372,2632,2,1,1139
373,2688,1,1,1832
373,2778,2,1,1832
374,3160,1,1,2269
374,3289,2,1,2269
374,5908,3,1,70
374,7059,4,1,135
375,3310,1,1,2160
375,3421,2,1,2160
375,6935,3,1,10
376,3362,1,1,2410
376,8104,3,1,429
378,3106,1,1,1656
378,2794,2,1,1656
378,3175,3,1,1656
378,7826,4,1,128
380,2635,1,1,1512
380,9397,2,1,7
381,2982,1,1,1856
381,2893,2,1,1856
381,9762,3,1,38
382,3599,1,1,1872
382,3316,2,1,1872
382,7305,6,1,357
383,3929,0,1,2519
383,7378,1,1,3
384,3781,1,1,2398
384,4215,2,1,2398
384,4091,3,1,2398
385,3827,1,1,2577
385,4118,2,1,2577
386,3712,2,1,2163
386,4187,3,1,2163
387,3459,1,1,2143
388,3479,1,1,2106
388,3808,2,1,2106
389,3111,1,1,1979
389,3277,2,1,1979
390,2942,1,1,1848
391,2038,1,1,1158
391,1827,4,1,1158
391,2195,5,1,1158
392,5274,4,1,1005
392,4600,8,1,5
392,1639,16,2,57
393,5274,4,1,1005
393,4600,8,1,5
395,4414,8,1,1063
398,3619,4,1,822
399,4458,9,1,828
400,3376,7,1,843
401,5663,3,1,1127
401,3546,4,1,1202
402,6578,3,1,97
402,6035,4,1,1077
402,3859,7,1,1003
403,6762,1,1,1081
403,6762,3,1,1047
403,4732,7,1,878
404,7535,1,1,495
404,6802,2,1,956
404,6053,4,1,948
404,4613,10,1,885
405,8297,3,1,465
405,5475,10,1,786
406,7830,4,1,18
406,8442,5,1,366
406,6178,9,1,633
406,6093,10,1,755
407,9403,2,1,408
407,10228,3,1,928
407,5637,8,1,927
408,10220,3,1,924
408,6410,8,1,466
408,6000,9,1,704
409,10325,3,1,1115
409,3558,6,1,551
410,10773,2,1,967
410,9221,5,1,1235
410,8460,10,1,917
410,4236,11,1,450
410,3478,12,1,555
411,11418,3,1,1262
411,4952,6,1,701
412,12193,3,1,1154
412,12184,4,1,1222
412,10427,6,1,641
412,5114,7,1,453
413,12158,5,1,1280
413,12248,6,1,1343
413,11533,7,1,1435
413,10809,9,1,907
413,6495,13,1,332
414,12211,4,1,1228
414,11057,5,1,1228
414,11271,7,1,773
414,6530,12,1,523
415,12772,2,1,1272
415,12705,3,1,1334
415,12020,5,1,1386
415,7648,6,1,97
416,13438,4,1,1196
416,7781,7,1,277
417,12803,4,1,1577
417,12851,5,1,1577
417,11738,9,1,1577
417,5915,10,1,220
418,11087,2,1,1077
418,5971,7,1,26
459,4384,4,1,442
468,7092,0,1,604
469,6067,0,1,407
471,5574,0,1,247
472,4813,2,1,84
473,5293,1,1,343
475,3943,0,1,11
477,4663,0,1,305
478,4511,0,1,151
479,3583,4,1,3
481,2926,2,1,478
482,2456,2,1,484
482,1515,4,1,545
482,900,6,1,25
483,2681,2,1,435
483,2133,4,1,515
484,1536,2,1,268
484,864,5,1,136
484,1702,6,1,348
486,1712,2,1,190
486,1721,4,1,244
487,3226,2,1,311
487,1631,4,1,367
488,2151,2,1,470
488,1683,4,1,482
489,3306,2,1,143
489,2331,4,1,243
490,3209,2,1,226
490,1813,4,1,300
490,2207,6,1,388
491,5493,2,1,259
492,5884,3,1,513
492,6077,4,1,610
493,6541,2,1,600
493,6594,3,1,745
493,5504,4,1,182
494,6948,2,1,186
494,7098,3,1,433
495,6465,2,1,196
495,7352,3,1,635
496,6517,2,1,115
496,7338,3,1,466
497,6865,2,1,62
497,6641,3,1,87
497,7471,4,1,411
498,7475,2,1,117
498,7780,3,1,421
499,5964,2,1,990
499,7371,3,1,398
499,7571,4,1,706
500,7874,2,1,503
500,8379,3,1,863
501,7841,2,1,106
501,8453,3,1,663
502,5923,2,1,810
502,7845,3,1,231
502,8203,4,1,575
503,5888,2,1,664
503,8307,3,1,72
503,8320,4,1,370
503,9345,5,1,3
504,8455,2,1,216
504,8593,3,1,604
504,6412,4,1,941
505,8569,2,1,281
505,5966,3,1,876
505,8564,6,1,600
506,8506,2,1,153
506,8236,3,1,529
506,6922,4,1,1051
506,8967,6,1,638
507,7321,2,1,965
507,9334,3,1,79
507,9617,4,1,500
508,8285,2,1,1269
508,8904,3,1,307
508,9136,5,1,810
508,9411,6,1,798
509,7670,2,1,1304
509,8736,3,1,142
509,9211,4,1,511
510,9299,2,1,307
510,8236,3,1,1375
510,9766,5,1,842
511,9215,0,1,165
511,7794,1,1,1467
512,9194,2,1,7
512,8167,3,1,1465
512,9945,5,1,1081
514,8352,2,1,1429
514,8067,4,1,604
515,8032,2,1,1355
515,9929,4,1,590
516,8017,1,1,1235
517,9525,2,1,57
517,8017,3,1,988
518,9663,2,1,1
518,8195,3,1,859
518,9886,4,1,537
519,9308,2,1,121
520,9039,2,1,173
521,9432,2,1,124
521,9136,5,1,133
522,9465,2,1,223
523,9564,2,1,251
524,9586,2,1,327
525,8264,2,1,1236
525,9801,3,1,273
526,10021,2,1,400
527,9981,2,1,434
527,8925,4,1,1086
527,9679,6,1,65
528,9927,2,1,409
528,8947,3,1,1410
529,10650,2,1,114
530,10171,2,1,667
532,10160,2,1,430
532,9264,3,1,1370
533,10314,2,1,223
535,9432,2,1,1077
535,10091,3,1,247
537,9625,2,1,61
538,9515,2,1,8
539,9531,2,1,2
542,8978,3,1,17
543,10128,4,1,1091
545,10395,3,1,1203
545,10346,4,1,1203
546,10766,3,1,1291
549,10550,3,1,1375
550,10586,3,1,1310
551,9985,2,1,1063
553,10220,5,1,1122
553,9879,6,1,1122
554,9918,3,1,1332
554,10432,4,1,1332
555,1903,5,1,25
556,1903,5,1,74
557,2137,5,1,346
557,2221,7,1,346
558,2458,10,1,446
559,2539,6,1,454
559,2068,7,1,370
560,2748,9,1,477
560,2902,10,1,477
561,2423,7,1,422
561,2122,9,1,417
562,2735,6,1,427
562,1291,8,1,88
563,2525,7,1,459
564,2848,10,1,454
566,2948,8,1,450
569,2940,6,1,421
571,3492,5,1,491
571,2364,6,2,362
572,2481,6,2,731
572,3736,7,1,518
573,2362,4,2,796
573,4014,5,1,592
574,3841,6,1,582
574,2404,7,2,935
575,3732,5,1,594
575,3139,6,2,745
576,3840,4,1,545
576,2985,5,2,744
577,3620,6,1,544
577,2776,7,2,345
578,3332,9,1,513
579,2717,7,1,508
579,1771,9,2,840
580,2348,9,2,869
581,2928,7,2,1076
582,3515,5,1,516
582,4057,7,2,1099
583,3392,6,1,627
583,2735,8,2,1083
583,3537,9,2,1083
584,3331,10,1,644
584,2659,13,2,1048
585,3594,3,1,606
585,2900,5,2,1279
586,3269,4,1,620
586,4265,6,2,797
587,3718,7,2,1117
587,1997,10,2,194
588,3407,8,2,973
588,4452,10,2,973
589,3587,10,2,1158
589,4157,11,2,1158
590,3980,8,2,1084
590,4123,9,2,1084
591,3663,6,2,1040
592,4091,11,2,1029
592,4437,13,2,1029
593,3897,10,2,1215
598,3742,7,1,1374
599,3928,8,1,1526
600,4578,8,1,1407
602,4276,7,1,1472
603,4059,6,1,1592
611,2257,9,1,1652
615,3814,10,1,65
620,7078,4,1,1438
620,9628,7,1,1438
620,5716,8,1,918
621,10279,5,1,1547
621,7052,9,1,1547
622,9811,3,1,1345
622,8048,5,1,1345
622,4803,7,1,1345
622,596,8,1,15
623,7792,9,1,1193
623,2966,10,1,545
623,3040,12,1,695
625,4163,4,1,14
625,3441,5,1,618
625,1669,6,1,63
626,3845,4,1,786
626,1786,5,1,270
627,3898,6,1,735
627,2812,7,1,503
628,4061,3,1,714
628,3206,4,1,531
629,3470,4,1,630
629,3785,5,1,868
630,3976,3,1,641
630,3749,4,1,731
631,4051,2,1,733
631,3729,3,1,642
632,4425,2,1,742
632,3457,3,1,565
633,3713,3,1,550
633,5265,6,1,667
634,4830,2,1,801
634,6058,5,1,803
635,4595,2,1,893
635,6621,5,1,766
635,6273,6,1,753
636,4564,3,1,639
636,6742,5,1,572
637,5438,3,1,601
637,6592,6,1,828
638,5842,4,1,698
638,7441,6,1,981
639,8444,4,1,973
639,7902,5,1,1354
640,6461,3,1,595
640,6219,4,1,286
640,7594,5,1,731
641,6026,3,1,864
641,8044,4,1,873
642,6712,3,1,981
642,8331,4,1,1115
642,7616,5,1,1317
643,6360,3,1,748
643,5408,4,1,129
643,9145,5,1,1188
644,9702,4,1,782
644,6674,5,1,233
645,9161,4,1,1267
645,6547,5,1,919
646,9238,3,1,1314
646,7542,4,1,1008
647,9270,3,1,1306
647,9388,4,1,1311
647,7530,5,1,1040
648,9431,3,1,1254
648,9437,4,1,1251
648,7782,5,1,1019
649,9819,3,1,1408
649,9914,4,1,1411
649,10290,5,1,1584
649,7940,6,1,1247
650,9785,4,1,1296
650,9783,5,1,1281
650,8096,6,1,1370
651,9966,4,1,1184
651,10386,5,1,1316
651,10388,6,1,1316
651,7983,7,1,1170
652,9626,5,1,1248
652,9551,6,1,1248
652,8269,7,1,1267
653,10769,4,1,1460
653,8336,5,1,1097
653,9446,7,1,1352
654,9030,4,1,1309
654,10624,5,1,1309
654,10713,6,1,1309
654,8481,7,1,929
654,6815,8,1,35
654,8866,13,1,1309
654,9892,14,1,1309
655,10901,3,1,1529
655,11097,4,1,1529
655,11491,5,1,1529
655,8925,6,1,1155
655,8985,8,1,1527
655,9763,9,1,1529
656,10648,3,1,1504
656,11199,4,1,1504
656,9030,5,1,1096
656,8393,8,1,1504
656,8308,9,1,1504
656,9424,10,1,1504
657,11168,4,1,1616
657,11597,5,1,1616
657,9052,6,1,976
657,9107,8,1,1615
658,10848,3,1,1391
658,11250,4,1,1391
658,9547,5,1,1114
658,8203,7,1,1391
659,11096,4,1,1225
659,11707,5,1,1225
659,9084,6,1,826
659,8869,8,1,1225
659,8751,9,1,1225
660,10615,5,1,996
660,11549,6,1,996
660,8867,7,1,635
660,8250,9,1,996
661,9256,6,1,1122
661,9406,7,1,1122
661,8895,8,1,610
661,7114,9,1,1
661,6791,10,1,1122
662,9676,6,1,552
662,7825,7,1,828
662,5578,9,1,828
663,9482,3,1,512
663,7115,5,1,1112
663,4613,7,1,1112
664,9542,6,1,796
664,6617,9,1,1068
664,7229,10,1,1068
664,3957,11,1,1068
665,9706,2,1,524
665,6254,4,1,1100
665,3589,7,1,1100
665,3327,8,1,1100
667,9860,1,1,619
667,5908,4,1,1157
667,6925,5,1,1157
667,3117,6,1,1157
668,9639,3,1,632
668,5217,7,1,1213
668,6052,8,1,1213
668,4341,9,1,1213
668,2005,10,1,1213
669,9353,4,1,476
669,4482,7,1,699
669,5175,8,1,699
669,1670,9,1,699
671,5163,3,1,1697
671,3607,5,1,704
671,1781,9,1,19
671,5929,11,1,1719
671,5223,13,1,229
673,5705,2,1,443
673,5797,5,1,554
673,4810,7,1,713
673,6066,13,1,1037
673,5829,15,1,1037
673,5431,17,1,746
673,4979,21,1,20
674,6278,4,1,209
674,6390,6,1,325
674,3194,8,1,17
674,6965,14,1,1141
674,5328,16,1,1141
674,4705,18,1,1032
674,5764,20,1,530
674,6330,22,1,1141
675,6639,3,1,180
675,3762,5,1,104
675,6930,13,1,1133
675,5838,15,1,1133
675,5033,17,1,1113
675,6460,19,1,1133
675,6098,21,1,520
676,7015,4,1,21
676,3073,6,1,195
676,6103,12,1,1161
676,4624,14,1,1060
676,6556,18,1,1155
676,7413,20,1,1161
676,6078,22,1,54
677,4808,9,1,1446
677,2810,11,1,325
677,7539,19,1,1448
677,7445,21,1,1448
677,6418,25,1,68
677,7379,27,1,1317
678,8130,3,1,10
678,5693,7,1,1360
678,3879,9,1,576
678,8401,13,1,1360
678,7152,15,1,1360
678,7523,18,1,1162
678,6702,20,1,53
679,4817,8,1,1187
679,4034,10,1,842
679,3500,12,1,4
679,7707,16,1,1187
679,7086,18,1,1187
679,7293,20,1,941
679,7469,23,1,1187
679,6789,24,1,15
680,4801,11,1,867
